Question,Option 1,Option 2,Option 3,Option 4,Answer Index,Quiz Set,Image URL,Audio URL,Game Name
"C64 Ghostbusters coder with David Crane","Troy Lyndon","John Twiddy","Adam Bellin","Chris Butler",3,1,,,
"Kernkraft 400 sample from Lazy Jones screen","Res-Q","Laser Jones","Star Dust","Wild Wafers",3,1,,,
"Paradroid droid with disruptor","476","833","614","711",4,1,,,
"Stavros Fasoulas birth country","Norway","Sweden","Denmark","Finland",4,1,,,
"Crystal Castles hero","Brave Bobby","Bentley Bear","Clyde Ratcliffe","Monty Mole",2,1,,,
"Headus & Footus game","Mayhem In Monsterland","Creatures 2","Bubble Bobble","Head Over Heels",4,1,,,
"Bungeling Empire publisher","Electronic Arts","Brøderbund","Melbourne House","Accolade",2,1,,,
"Wizball cat name before Catellite","Fudge","Nifta","Sputnik","Zark",2,1,,,
"Double Dragon brothers","Rizer & Bill","Cody & Guy","Bub & Bob","Billy & Jimmy",4,1,,,
"Cannon Fodder first three","Jim, Dave, Petey","Jopps, Frank, Joseph","Stoo, Dave, Larry","Jools, Jops, Stoo",4,1,,,
"Original Gauntlet character","Alizon","Thunar","Questor","Storm Axe",3,1,,,
"H.E.R.O. stands for","Healthcare Emergency","Hazard Evaluation","Humanitarian Emergency","Helicopter Rescue",4,1,,,
"Llamasoft founder 'Yak'","Jeff Minter","Tim Stamper","Tony Crowther","Richard Darling",1,1,,,
"First Ocean Loader game","Green Beret","Rambo","Daley Decathlon","Platoon",3,1,,,
"C64 Friday the 13th publisher","Domark","Ocean","Firebird","Activision",1,1,,,
"Geoff Crammond 3D racer","Buggy Boy","Super Off Road","Power Drift","Stunt Car Racer",4,1,,,
"What does Guybrush use to stop ghost LeChuck?","Grog","Rum","Root beer","Seawater",3,1,,,
"Master of Magic: escape item","Amulet of Immortality","Kingdom of Creatures","Rescue Daughter","Magic Scroll",1,1,,,
"Jet Set Willy start room","Master Bedroom","Top Landing","The Bathroom","Front Door",3,1,,,
"Yie Ar Kung-Fu hero","Buchu","Tonfun","Blues","Oolong",4,1,,,
"Which Game Is This","Wizard’s Crown","Archon","Battle Chess","Conquest of the New World",2,2,https://i.postimg.cc/Hrgp6Xdb/archon-03.png,,
"Which Game Is This","Spelunker","Rick Dangerous","Bruce Lee","Kung-Fu Master",3,2,https://i.postimg.cc/G4xbVtm2/bruce-lee-03.png,,
"Which Game Is This","Bubble Bobble","Joust","Snow Bros","Rodland",1,2,https://i.postimg.cc/SnhygCkY/bubble-bobble-04.png,,
"Which Game Is This","Defender Of The Crown","Barbarian","Champions of Krynn","King’s Bounty",1,2,https://i.postimg.cc/G4CcXGdB/defender-of-the-crown-07.png,,
"Which Game Is This","Frontier","Mercenary","Trade Wars","Elite",4,2,https://i.postimg.cc/mPsbmCBF/elite-04.png,,
"Which Game Is This","Gary Linekers Superstar","International Soccer","Emlyn Hughes","Kick Off",3,2,https://i.postimg.cc/0zs8VDPs/emlyn-hughes-international-soccer-04.png,,
"Which Game Is This","Bangkok Knights","Yie Ar Kung-Fu","Way of the Exploding Fist","IK+",4,2,https://i.postimg.cc/sMrVT7s1/ik-plus-03.png,,
"Which Game Is This","Hero Of The Golden Talisman","Montezuma’s Revenge","Impossible Mission","The Last Ninja",3,2,https://i.postimg.cc/RWBMgK4H/impossible-mission-02.png,,
"Which Game Is This","Last Ninja","Shinobi","Shadow Dancer","Ninja Rabbits",1,2,https://i.postimg.cc/VJ8YKnmP/last-ninja-03.png,,
"Which Game Is This","M.U.L.E","Stellar Conquest","The Seven Cities of Gold","Outpost",1,2,https://i.postimg.cc/pmH2szRd/m-u-l-e-03.png,,
"Which Game Is This","Zak McKracken","Leisure Suit Larry","The Pawn","Maniac Mansion",4,2,https://i.postimg.cc/rDk8fxMs/maniac-mansion-03.png,,
